iter	Passed	Remaining
0	8	8017
1	15	7912
2	23	7875
3	31	7926
4	40	7993
5	48	8097
6	57	8156
7	66	8209
8	96	10593
9	116	11500
10	131	11785
11	147	12175
12	161	12279
13	179	12676
14	210	13818
15	229	14106
16	245	14183
17	261	14242
18	274	14197
19	289	14185
20	303	14152
21	319	14223
22	335	14232
23	353	14361
24	366	14307
25	378	14187
26	390	14076
27	401	13928
28	411	13787
29	422	13669
30	436	13638
31	449	13601
32	463	13587
33	476	13549
34	488	13471
35	496	13304
36	507	13219
37	518	13134
38	529	13043
39	539	12951
40	549	12850
41	559	12771
42	570	12696
43	581	12632
44	591	12556
45	601	12481
46	611	12404
47	621	12318
48	632	12267
49	643	12224
50	653	12165
51	664	12111
52	675	12064
53	685	12009
54	696	11958
55	706	11901
56	716	11850
57	725	11776
58	735	11729
59	745	11683
60	756	11640
61	766	11591
62	776	11547
63	786	11509
64	797	11470
65	807	11434
66	818	11394
67	828	11359
68	839	11326
69	850	11293
70	860	11254
71	870	11222
72	881	11189
73	890	11144
74	900	11109
75	910	11075
76	921	11042
77	931	11013
78	942	10984
79	952	10957
80	964	10938
81	974	10912
82	983	10862
83	993	10834
84	1004	10813
85	1015	10788
86	1025	10764
87	1036	10740
88	1046	10713
89	1056	10687
90	1067	10666
91	1078	10644
92	1088	10618
93	1099	10599
94	1109	10574
95	1120	10553
96	1131	10528
97	1141	10505
98	1152	10486
99	1162	10463
100	1173	10441
101	1183	10417
102	1193	10393
103	1203	10372
104	1214	10354
105	1225	10333
106	1235	10313
107	1245	10289
108	1255	10266
109	1266	10250
110	1277	10232
111	1287	10210
112	1298	10191
113	1308	10173
114	1319	10155
115	1330	10139
116	1341	10126
117	1352	10106
118	1361	10076
119	1372	10062
120	1383	10048
121	1394	10033
122	1402	9997
123	1413	9982
124	1423	9965
125	1434	9951
126	1444	9932
127	1454	9911
128	1465	9897
129	1476	9880
130	1487	9866
131	1498	9850
132	1508	9835
133	1519	9820
134	1530	9804
135	1541	9791
136	1551	9774
137	1562	9762
138	1572	9741
139	1583	9725
140	1593	9710
141	1604	9695
142	1612	9664
143	1623	9650
144	1634	9636
145	1641	9599
146	1651	9586
147	1662	9571
148	1673	9557
149	1684	9543
150	1694	9528
151	1705	9512
152	1715	9499
153	1726	9483
154	1736	9467
155	1747	9452
156	1758	9439
157	1769	9427
158	1779	9414
159	1790	9401
160	1801	9387
161	1811	9373
162	1822	9360
163	1833	9346
164	1843	9330
165	1854	9316
166	1864	9301
167	1875	9286
168	1882	9256
169	1893	9242
170	1903	9230
171	1912	9206
172	1922	9189
173	1932	9174
174	1943	9161
175	1953	9146
176	1963	9131
177	1974	9119
178	1986	9110
179	1996	9096
180	2006	9079
181	2017	9066
182	2027	9053
183	2038	9040
184	2049	9028
185	2060	9016
186	2070	9003
187	2081	8989
188	2091	8976
189	2102	8964
190	2113	8949
191	2123	8937
192	2134	8925
193	2145	8912
194	2156	8900
195	2167	8889
196	2178	8879
197	2208	8947
198	2224	8954
199	2240	8960
200	2262	8991
201	2279	9006
202	2300	9032
203	2312	9022
204	2327	9027
205	2344	9035
206	2360	9044
207	2376	9048
208	2395	9064
209	2419	9103
210	2437	9113
211	2452	9116
212	2469	9124
213	2484	9126
214	2500	9128
215	2511	9115
216	2522	9102
217	2533	9089
218	2545	9078
219	2556	9065
220	2568	9052
221	2579	9039
222	2591	9028
223	2604	9022
224	2618	9019
225	2632	9015
226	2647	9016
227	2660	9008
228	2671	8995
229	2683	8982
230	2694	8968
231	2705	8955
232	2713	8933
233	2725	8920
234	2736	8907
235	2747	8893
236	2757	8878
237	2769	8866
238	2780	8852
239	2791	8838
240	2802	8824
241	2812	8810
242	2823	8796
243	2834	8782
244	2845	8767
245	2855	8753
246	2866	8739
247	2877	8726
248	2888	8712
249	2900	8701
250	2911	8687
251	2922	8675
252	2934	8662
253	2945	8650
254	2956	8637
255	2968	8625
256	2979	8612
257	2990	8599
258	3001	8586
