iter	Passed	Remaining
0	4	4281
1	8	4380
2	13	4321
3	17	4387
4	22	4391
5	26	4392
6	30	4366
7	35	4384
8	39	4380
9	44	4394
10	48	4398
11	53	4394
12	58	4425
13	62	4432
14	67	4440
15	72	4458
16	77	4473
17	81	4466
18	86	4462
19	91	4459
20	95	4460
21	100	4458
22	105	4467
23	109	4464
24	114	4458
25	119	4466
26	124	4469
27	128	4470
28	133	4474
29	138	4477
30	143	4477
31	148	4477
32	152	4478
33	157	4474
34	162	4472
35	166	4469
36	171	4464
37	176	4461
38	181	4461
39	185	4461
40	190	4457
41	195	4455
42	199	4449
43	204	4440
44	208	4431
45	213	4430
46	218	4429
47	222	4421
48	227	4421
49	232	4414
50	237	4411
51	241	4405
52	246	4402
53	251	4399
54	255	4394
55	260	4390
56	265	4388
57	270	4386
58	275	4398
59	280	4395
60	285	4394
61	290	4398
62	295	4397
63	300	4393
64	305	4398
65	310	4400
66	316	4404
67	321	4402
68	326	4402
69	331	4399
70	335	4396
71	340	4392
72	345	4389
73	350	4382
74	354	4374
75	359	4372
76	364	4368
77	369	4366
78	374	4365
79	379	4362
80	384	4359
81	389	4355
82	393	4351
83	398	4348
84	403	4347
85	408	4343
86	413	4341
87	418	4336
88	423	4330
89	427	4325
90	432	4319
91	436	4312
92	442	4310
93	446	4306
94	451	4301
95	456	4295
96	460	4289
97	465	4283
98	470	4281
99	475	4277
100	480	4273
101	484	4268
102	489	4262
103	494	4259
104	498	4253
105	503	4249
106	508	4243
107	513	4237
108	517	4232
109	522	4229
110	527	4225
111	532	4223
112	537	4219
113	542	4217
114	547	4213
115	552	4209
116	557	4207
117	562	4202
118	567	4199
119	571	4194
120	576	4191
121	581	4186
122	586	4181
123	591	4176
124	595	4171
125	600	4166
126	605	4160
127	610	4156
128	614	4151
129	619	4147
130	624	4144
131	629	4141
132	635	4139
133	640	4137
134	645	4137
135	650	4134
136	656	4133
137	661	4131
138	666	4127
139	671	4123
140	675	4118
141	680	4114
142	685	4108
143	690	4105
144	695	4100
145	700	4098
146	705	4095
147	710	4092
148	716	4090
149	721	4088
150	726	4082
151	731	4080
152	736	4075
153	740	4069
154	745	4066
155	750	4062
156	755	4058
157	761	4055
158	765	4050
159	770	4046
160	776	4044
161	781	4043
162	787	4041
163	792	4039
164	797	4036
165	803	4034
166	808	4034
167	814	4031
168	820	4035
169	826	4033
170	831	4031
171	836	4028
172	841	4022
173	846	4019
174	851	4015
175	857	4012
176	862	4008
177	867	4004
178	873	4004
179	877	3998
180	882	3994
181	888	3993
182	893	3987
183	898	3984
184	903	3979
185	908	3976
186	913	3972
187	919	3969
188	923	3963
189	928	3959
190	933	3954
191	938	3948
192	943	3943
193	948	3938
194	953	3934
195	958	3929
196	962	3924
197	967	3919
198	972	3914
199	977	3908
200	982	3903
201	987	3900
202	992	3895
203	996	3890
204	1001	3885
205	1006	3879
206	1011	3873
207	1016	3869
208	1021	3864
209	1026	3860
210	1031	3856
211	1036	3850
212	1040	3845
213	1045	3840
214	1050	3835
215	1055	3830
216	1060	3824
217	1064	3819
218	1069	3813
219	1074	3808
220	1079	3803
221	1083	3797
222	1088	3793
223	1093	3788
224	1098	3783
225	1103	3779
226	1108	3774
227	1113	3769
228	1118	3765
229	1123	3760
230	1128	3755
231	1132	3749
232	1137	3744
233	1142	3739
234	1146	3733
235	1151	3728
236	1156	3723
237	1161	3718
238	1166	3713
239	1171	3708
240	1175	3703
241	1180	3698
242	1185	3693
243	1190	3688
244	1195	3683
245	1200	3679
246	1205	3674
247	1210	3669
248	1215	3664
249	1219	3659
250	1224	3653
251	1228	3647
252	1234	3643
253	1238	3638
254	1243	3633
255	1248	3627
256	1253	3622
257	1258	3618
258	1263	3613
259	1268	3609
260	1273	3605
261	1278	3600
262	1283	3596
263	1288	3591
264	1293	3586
265	1298	3582
266	1303	3577
267	1308	3574
268	1313	3570
269	1318	3565
270	1323	3561
271	1329	3557
272	1334	3552
273	1338	3547
274	1344	3543
275	1349	3538
276	1354	3534
277	1359	3529
278	1364	3526
279	1369	3521
280	1374	3516
281	1379	3511
282	1384	3506
283	1389	3502
284	1394	3497
285	1399	3492
286	1404	3488
287	1409	3484
288	1414	3479
289	1419	3474
290	1424	3469
291	1429	3465
292	1434	3460
293	1439	3455
294	1443	3450
295	1449	3446
296	1454	3441
297	1459	3437
298	1464	3432
299	1469	3428
300	1474	3424
301	1479	3418
302	1484	3414
303	1489	3409
304	1493	3404
305	1498	3399
306	1503	3394
307	1508	3390
308	1514	3385
